segment,time_span,rsi,adx,atr,price_slope,vwap_diff,regime,category,date
Segment 6,14:30-15:15,43.5999735605742,22.583893868701157,12.62204665007734,-16.599999999998545,38.5247158077691,Range,12,2025-08-20
Segment 1,09:15-09:45,,,,-4.299999999999272,-8.311094186341506,Range,12,2025-08-19
Segment 2,09:45-11:00,59.43323515786858,,20.08264187298144,40.29999999999927,24.924133794691443,Impulse Up (No ADX),5,2025-08-19
Segment 3,11:00-12:30,73.73486583801701,29.00603044314346,16.490765535250915,65.90000000000146,62.928521493380686,Trending Up,1,2025-08-19
Segment 4,12:30-13:30,46.863297991051176,29.68238311866036,16.17066315465764,-36.0,19.639866007204546,Impulse Down (Low Conviction),4,2025-08-19
Segment 5,13:30-14:30,56.59796414911713,20.274307509972168,16.765836947564758,14.299999999999272,31.55955877174347,Weak Uptrend,10,2025-08-19
Segment 6,14:30-15:15,55.326510086598425,16.12858897238999,17.114510625938642,2.7000000000007276,29.99498062415296,Choppy,9,2025-08-19
Segment 1,09:15-09:45,,,,74.30000000000291,68.69613042624405,Weak Uptrend,10,2025-08-18
Segment 2,09:45-11:00,49.919738062242075,,20.265000855582848,-62.900000000001455,-4.415602489181765,Impulse Down (No ADX),6,2025-08-18
Segment 3,11:00-12:30,36.777887807923435,30.57368499554636,19.387202529049564,-62.0,-58.018776396889734,Trending Down,2,2025-08-18
Segment 4,12:30-13:30,49.39041621854454,19.935642690802034,20.77516631971207,35.0,-20.511240816962527,Impulse Up (No ADX),5,2025-08-18
Segment 5,13:30-14:30,46.000242716295745,12.064795016209379,17.244957039343088,-2.5,-22.13717625992649,Range,12,2025-08-18
Segment 6,14:30-15:15,43.07227691092977,15.514821309400393,16.48286434323929,-13.5,-33.19669406568573,Weak Downtrend,11,2025-08-18
Segment 1,09:15-09:45,,,,24.100000000002183,15.329952741529269,Weak Uptrend,10,2025-08-14
Segment 2,09:45-11:00,54.18291482904405,,21.33946436881605,-11.799999999999272,8.709420289855188,Choppy,9,2025-08-14
Segment 3,11:00-12:30,51.673549259898856,19.542440769798763,18.085158874320378,-19.80000000000291,-7.23836637518616,Impulse Down (No ADX),6,2025-08-14
Segment 4,12:30-13:30,44.7920901132776,15.029461626715849,15.817414886277874,-9.099999999998545,-15.869841039344465,Range,12,2025-08-14
Segment 5,13:30-14:30,42.06196355380231,20.900565539704125,14.578575546947889,-11.700000000000728,-23.755083648797154,Weak Downtrend,11,2025-08-14
Segment 6,14:30-15:15,43.70420317648559,23.90072895895907,15.226947964071547,1.7000000000007276,-20.003314666049846,Range,12,2025-08-14
Segment 1,09:15-09:45,,,,42.0,33.23186740816527,Weak Uptrend,10,2025-08-13
Segment 2,09:45-11:00,60.46994521110965,,23.69987842888257,-2.900000000001455,17.75901970909399,Choppy,9,2025-08-13
Segment 3,11:00-12:30,66.16464082978915,17.553964192360105,19.922508093418312,24.900000000001455,39.02650048378564,Impulse Up (No ADX),5,2025-08-13
Segment 4,12:30-13:30,59.06169520843266,25.66849061126544,18.76166976855749,6.400000000001455,34.97820975503055,"Strong Volatility, No Direction",7,2025-08-13
Segment 5,13:30-14:30,60.32177697574722,24.97703631230177,17.490084105598395,27.399999999997817,53.97094439956709,Weak Uptrend,10,2025-08-13
Segment 6,14:30-15:15,45.59969645876679,20.783677594110525,15.455690747786232,-22.200000000000728,27.56768776739409,Range,12,2025-08-13
Segment 1,09:15-09:45,,,,78.90000000000146,38.10872661918256,Weak Uptrend,10,2025-08-12
Segment 2,09:45-11:00,45.124080938614775,,29.783350184211457,-89.90000000000146,-68.75247095740997,Impulse Down (No ADX),6,2025-08-12
Segment 3,11:00-12:30,60.67729702145501,14.598938340984047,27.965623830334536,61.80000000000291,6.409048567162245,Impulse Up (No ADX),5,2025-08-12
Segment 4,12:30-13:30,43.554195636476614,14.057436134243732,25.265646771283205,-49.900000000001455,-42.880257542543404,Weak Downtrend,11,2025-08-12
Segment 5,13:30-14:30,36.56800149885946,18.55910990665509,24.114031106196975,-51.0,-86.67702767766605,Weak Downtrend,11,2025-08-12
Segment 6,14:30-15:15,37.35755091022698,28.436239422924334,24.28128797067422,-22.799999999999272,-98.39252190433399,Trending Down,2,2025-08-12
Segment 1,09:15-09:45,,,,-28.0,-25.092780682101875,Weak Downtrend,11,2025-08-11
Segment 2,09:45-11:00,59.17430602673274,,27.36527796502895,85.0,37.49155382398021,Impulse Up (No ADX),5,2025-08-11
Segment 3,11:00-12:30,51.33083164869938,13.316013950123205,23.15074707694067,-11.099999999998545,17.32304686642601,Choppy,9,2025-08-11
Segment 4,12:30-13:30,66.3651207179089,22.2756601538053,20.218424542039962,62.69999999999709,66.63319709354982,Weak Uptrend,10,2025-08-11
Segment 5,13:30-14:30,72.5783782142433,38.386228458081405,18.91371220053451,56.400000000001455,104.48677263969148,Trending Up,1,2025-08-11
Segment 6,14:30-15:15,53.842682602626226,43.1371303620165,18.547931169084173,-20.900000000001455,62.654053994487185,Impulse Down (Low Conviction),4,2025-08-11
Segment 1,09:15-09:45,,,,-92.0,-52.685492777738546,Weak Downtrend,11,2025-08-08
Segment 2,09:45-11:00,24.151128778523407,,25.472356952610596,-50.20000000000073,-51.2189923015394,Impulse Down (No ADX),6,2025-08-08
Segment 3,11:00-12:30,40.92474189425576,36.72838147618984,22.891856501112958,2.7999999999992724,-37.315057933745265,"Strong Volatility, No Direction",7,2025-08-08
Segment 4,12:30-13:30,50.20025405323081,20.63444124443225,22.10188800483979,16.30000000000291,-18.831171315610845,Range,12,2025-08-08
Segment 5,13:30-14:30,41.061901052672106,19.19539740480864,22.38467451587905,-41.900000000001455,-55.22170851900228,Weak Downtrend,11,2025-08-08
Segment 6,14:30-15:15,31.345115681517612,28.43629848014677,22.293053106968724,-48.79999999999927,-91.36325738927553,Trending Down,2,2025-08-08
Segment 1,09:15-09:45,,,,-7.099999999998545,-3.3428693842543,Range,12,2025-08-07
Segment 2,09:45-11:00,25.54645462239844,,21.71737291451573,-105.90000000000146,-76.688115033543,Impulse Down (No ADX),6,2025-08-07
Segment 3,11:00-12:30,44.190803042820306,26.535389667770005,18.990634591847055,26.700000000000728,-38.5491655437836,Impulse Up (Low Conviction),3,2025-08-07
Segment 4,12:30-13:30,20.597637526107633,32.871846638778564,16.758647113115153,-79.5,-101.9086020823197,Trending Down,2,2025-08-07
Segment 5,13:30-14:30,71.79584669944035,32.38311374554825,20.32039810140517,129.59999999999854,32.56284696048897,Trending Up,1,2025-08-07
Segment 6,14:30-15:15,87.89706541439023,47.97099105318803,25.683903004435088,133.60000000000218,135.3579499935513,Trending Up,1,2025-08-07
Segment 1,09:15-09:45,,,,-30.399999999997817,-23.000147347738675,Weak Downtrend,11,2025-08-06
